net,sta,loc,ch,lat,lon,wZ,wN,wE,starttime
IA,BBKI,,SH,-3.4625,114.8411,1.0,1.0,1.0,2007-01-01T00:00:00
IA,BBLSI,,SH,-1.637539,123.52168,1.0,1.0,1.0,2022-09-22T07:45:29
IA,BBSI,,SH,-5.4885,122.56,1.0,1.0,1.0,2007-01-01T00:00:00
IA,BDBI,,SH,-8.52,115.2088,1.0,1.0,1.0,2021-11-26T00:00:00
IA,BDCM,00,SH,-0.872636,119.586757,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BDMUI,,SH,1.322,126.362,1.0,1.0,1.0,2022-09-22T07:45:29
IA,BESI,00,BH,4.719933,96.86546,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BESM,00,SH,4.151615,96.325344,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BGASI,,SH,3.983,97.315,1.0,1.0,1.0,2022-09-22T07:45:29
IA,BGCI,00,BH,-0.8816,123.3911,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BGCM,00,SH,-0.049644,119.880075,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BHCM,00,SH,-2.7965,122.1259,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BKASI,,SH,-0.202,100.318,1.0,1.0,1.0,2022-09-22T07:45:29
IA,BKB,,BH,-1.1073,116.9048,1.0,1.0,1.0,2005-12-06T00:00:00
IA,BKJI,,BH,-7.3633,108.5322,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BKNI,,SH,0.3262,101.0396,1.0,1.0,1.0,2008-04-29T00:00:00
IA,BKSI,,SH,-5.3219,120.1224,1.0,1.0,1.0,2008-01-01T00:00:00
IA,BLCM,00,SH,-0.122934,119.687071,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BLJI,,SH,-7.745,113.595,1.0,1.0,1.0,2008-01-01T00:00:00
IA,BLSI,,SH,-5.3676,105.2452,1.0,1.0,1.0,2007-01-01T00:00:00
IA,BLSM,00,SH,-3.140218,102.8072,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BMBNG,,SH,-6.66347,110.8839,1.0,1.0,1.0,2021-12-31T00:00:00
IA,BMSI,,BH,-2.06641,102.31544,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BNDI,,SH,-4.5224,129.9045,1.0,1.0,1.0,2008-07-04T00:00:00
IA,BNSI,,SH,-4.4006,120.1065,1.0,1.0,1.0,2008-01-01T00:00:00
IA,BNTI,00,BH,-8.7881,120.9768,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BOJI,,BH,-7.56815,110.68936,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BOSM,00,SH,-4.859183,104.020736,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BPMJM,,BH,-6.9505233,113.4922383,1.0,1.0,1.0,2020-01-01T00:00:00
IA,BPSM,00,SH,-1.1924,100.58998,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BSI,,BH,5.4964,95.2961,1.0,1.0,1.0,2005-01-01T00:00:00
IA,BSMI,,SH,-3.107622,130.49381,1.0,1.0,1.0,2016-11-26T00:00:00
IA,BSSI,,SH,-6.1428,120.4904,1.0,1.0,1.0,2009-01-01T00:00:00
IA,BTCM,00,SH,-2.4768,121.9241,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BTJI,,BH,-7.1972,109.1641,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BTSPI,,SH,-2.3779,139.7042,1.0,1.0,1.0,2022-09-22T07:45:29
IA,BUBSI,,SH,-0.855,122.207,1.0,1.0,1.0,2022-09-22T07:45:29
IA,BUJI,,BH,-7.75603,109.46133,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BUKI,,SH,1.25,118.07,1.0,1.0,1.0,2021-11-26T00:00:00
IA,BUMSI,,SH,-1.977807,121.334629,1.0,1.0,1.0,2022-09-22T07:45:29
IA,BUSI,00,BH,5.2445125,96.243038,1.0,1.0,1.0,2019-01-01T00:00:00
IA,BWJI,,SH,-5.8511,112.6578,1.0,1.0,1.0,2007-01-01T00:00:00
IA,BYJI,,SH,-8.214,114.3557,1.0,1.0,1.0,2008-01-01T00:00:00
IA,BYLI,00,BH,-8.2273,116.4201,1.0,1.0,1.0,2019-01-01T00:00:00
IA,CASI,00,BH,4.62879,95.57668,1.0,1.0,1.0,2018-10-22T00:00:00
IA,CBJI,,SH,-6.6981,106.9349,1.0,1.0,1.0,2006-01-01T00:00:00
IA,CBJM,00,SH,-6.93085,107.35624,1.0,1.0,1.0,2019-01-01T00:00:00
IA,CCJM,00,SH,-7.01692,107.14019,1.0,1.0,1.0,2019-01-01T00:00:00
IA,CGJI,,SH,-6.6134,105.69,1.0,1.0,1.0,2008-01-01T00:00:00
IA,CIJI,,BH,-7.31741,108.19589,1.0,1.0,1.0,2019-01-01T00:00:00
IA,CIJM,00,SH,-6.492453,108.185243,1.0,1.0,1.0,2019-01-01T00:00:00
IA,CIKJI,00,SH,-6.041924,107.347374,1.0,1.0,1.0,2023-11-27T15:30:00
IA,CILJI,,SH,-6.822,106.316,1.0,1.0,1.0,2022-09-22T07:45:29
IA,CMJI,,SH,-7.784,108.449,1.0,1.0,1.0,2008-01-01T00:00:00
IA,CNJI,,SH,-7.309,107.1296,1.0,1.0,1.0,2008-01-01T00:00:00
IA,CSBJI,00,SH,-6.404687,107.881737,1.0,1.0,1.0,2023-12-02T08:00:00
IA,CSJI,,BH,-7.3302,106.521,1.0,1.0,1.0,2019-01-01T00:00:00
IA,CSJM,00,SH,-6.74052,108.0099,1.0,1.0,1.0,2019-01-01T00:00:00
IA,CTJI,,SH,-7.00754,109.18356,1.0,1.0,1.0,2007-01-01T00:00:00
IA,CWJM,00,SH,-6.74236,107.44486,1.0,1.0,1.0,2019-01-01T00:00:00
IA,DBJI,,SH,-6.5538,106.7497,1.0,1.0,1.0,2007-01-01T00:00:00
IA,DBKI,00,BH,-1.6792,114.9079,1.0,1.0,1.0,2019-01-01T00:00:00
IA,DBNFM,,BH,-8.424084,118.594821,1.0,1.0,1.0,2020-11-01T00:00:00
IA,DBNI,,SH,-8.50188,118.31213,1.0,1.0,1.0,2007-01-01T00:00:00
IA,DDSI,00,BH,1.6675,101.4602,1.0,1.0,1.0,2019-01-01T00:00:00
IA,DNP,,SH,-8.6774,115.2097,1.0,1.0,1.0,2006-01-01T00:00:00
IA,DOCM,00,SH,-0.675868,119.74873,1.0,1.0,1.0,2019-01-01T00:00:00
IA,DSRI,,SH,-0.4793,104.5778,1.0,1.0,1.0,2007-01-01T00:00:00
IA,DYPI,00,BH,-4.8521,139.4991,1.0,1.0,1.0,2019-01-01T00:00:00
IA,EDFI,,SH,-8.7497,121.6903,1.0,1.0,1.0,2009-01-01T00:00:00
IA,EDMPI,,SH,-7.175,139.585,1.0,1.0,1.0,2023-08-15T07:45:29
IA,EGSI,,SH,-5.3526,102.2767,1.0,1.0,1.0,2009-01-01T00:00:00
IA,ELMPI,,SH,-7.489,140.789,1.0,1.0,1.0,2022-09-22T07:45:29
IA,ERPI,,BH,-3.926867,136.380947,1.0,1.0,1.0,2017-12-01T00:00:00
IA,ESNI,,SH,-8.85,117.96,1.0,1.0,1.0,2021-11-26T00:00:00
IA,FAKI,,SH,-2.9192,132.265,1.0,1.0,1.0,2008-11-26T00:00:00
IA,FKMPM,,BH,-8.2515,140.2666,1.0,1.0,1.0,2020-10-01T00:00:00
